fighter_name,Height,Weight,Reach,Stance,DOB
David Gomez,NA,155 lbs.,NA,NA,"Aug 08, 1983"
David Heath,"5' 11""",205 lbs.,"72""",Orthodox,"Feb 10, 1976"
David Hood,"6' 0""",200 lbs.,NA,NA,NA
David Hulett,"5' 10""",170 lbs.,NA,NA,"Sep 07, 1980"
David Kaplan,"5' 7""",155 lbs.,NA,Orthodox,"Nov 16, 1979"
David Lee,"5' 10""",155 lbs.,NA,Orthodox,NA
David Levicki,"6' 5""",275 lbs.,NA,NA,NA
David Loiseau,"6' 0""",185 lbs.,"76""",Orthodox,"Dec 17, 1979"
David Marshall,"6' 2""",170 lbs.,NA,NA,"Aug 24, 1984"
David Michaud,"5' 9""",155 lbs.,"72""",Orthodox,"Nov 10, 1988"
David Mitchell,"6' 0""",170 lbs.,"76""",Orthodox,"Oct 24, 1979"
David Rasouli,"5' 7""",155 lbs.,NA,NA,NA
David Roberts,"6' 1""",170 lbs.,NA,Orthodox,"Nov 15, 1975"
David Smith,NA,155 lbs.,NA,NA,NA
David Terrell,"6' 1""",185 lbs.,NA,Southpaw,"Jan 09, 1978"
David Teymur,"5' 9""",155 lbs.,"73""",Southpaw,"May 01, 1989"
David Velasquez,"5' 5""",145 lbs.,NA,Orthodox,NA
David Zawada,"6' 0""",170 lbs.,"75""",Orthodox,"Aug 01, 1990"
Dayana Silva,"5' 7""",135 lbs.,NA,Orthodox,"Aug 27, 1990"
DeAnna Bennett,"5' 4""",125 lbs.,"68""",NA,"Nov 18, 1984"
DeMarco Villalona,"5' 9""",185 lbs.,NA,NA,NA
Dean Hancock,NA,155 lbs.,NA,NA,NA
Dean Lister,"6' 1""",185 lbs.,"75""",Orthodox,"Feb 13, 1976"
Deiveson Figueiredo,"5' 5""",125 lbs.,"68""",Orthodox,"Dec 18, 1987"
Deividas Taurosevicius,"5' 9""",145 lbs.,"68""",Southpaw,"Aug 28, 1977"
Del Hawkins,"5' 5""",135 lbs.,NA,Orthodox,NA
Delson Heleno,"5' 11""",185 lbs.,NA,Orthodox,"Nov 16, 1977"
Demetrious Johnson,"5' 3""",125 lbs.,"66""",Orthodox,"Aug 13, 1986"
Demetrius Gioulacos,"5' 11""",185 lbs.,NA,NA,NA
Demian Maia,"6' 1""",170 lbs.,"72""",Southpaw,"Nov 06, 1977"
Denis Kang,"5' 11""",185 lbs.,"77""",Orthodox,"Sep 17, 1977"
Denis Sobolev,"6' 3""",216 lbs.,NA,Orthodox,NA
Denis Stojnic,"6' 0""",245 lbs.,NA,Orthodox,"Feb 02, 1980"
Dennis Bermudez,"5' 6""",155 lbs.,"66""",Orthodox,"Dec 13, 1986"
Dennis Bryant,"6' 0""",205 lbs.,"72""",Orthodox,"Oct 18, 1985"
Dennis Dombrow,NA,145 lbs.,NA,NA,"Mar 17, 1986"
Dennis Hallman,"5' 9""",155 lbs.,"72""",Orthodox,"Dec 02, 1975"
Dennis Olson,"6' 0""",170 lbs.,NA,NA,NA
Dennis Reed,NA,205 lbs.,NA,Orthodox,NA
Dennis Siver,"5' 6""",145 lbs.,"70""",Orthodox,"Jan 13, 1979"
Derek Anderson,"6' 0""",155 lbs.,NA,NA,"Feb 02, 1990"
Derek Bohi,"6' 4""",260 lbs.,NA,NA,NA
Derek Brunson,"6' 1""",185 lbs.,"77""",Southpaw,"Jan 04, 1984"
Derek Campos,"5' 9""",155 lbs.,NA,NA,"Apr 01, 1988"
Derek Downey,"6' 1""",185 lbs.,NA,Orthodox,"Apr 27, 1980"
Derek Getzel,"6' 0""",155 lbs.,NA,NA,NA
Deron Winn,"5' 6""",185 lbs.,"70""",Orthodox,"Jun 13, 1989"
Derrick Burnsed,NA,155 lbs.,NA,NA,NA
Derrick Krantz,"5' 10""",170 lbs.,"72""",Orthodox,"Jan 13, 1988"
Derrick Lewis,"6' 3""",260 lbs.,"79""",Orthodox,"Feb 07, 1985"
Derrick Mehmen,"6' 4""",205 lbs.,NA,NA,"May 30, 1985"
Derrick Noble,"5' 9""",170 lbs.,NA,Southpaw,"Aug 14, 1978"
Deshaun Johnson,NA,167 lbs.,NA,NA,NA
Desmond Green,"5' 10""",155 lbs.,"73""",Southpaw,"Oct 11, 1989"
Devin Clark,"6' 0""",205 lbs.,"75""",Orthodox,"Apr 12, 1990"
Devin Cole,"6' 4""",240 lbs.,NA,Orthodox,"Oct 01, 1976"
Devin Johnson,NA,NA,NA,NA,NA
Devin Powell,"6' 0""",155 lbs.,"73""",Orthodox,"Mar 01, 1988"
Devonte Smith,"5' 9""",155 lbs.,"76""",Orthodox,"Jul 30, 1993"
Dewey Cooper,NA,205 lbs.,NA,NA,NA
Dhafir Harris,NA,257 lbs.,NA,NA,"Aug 04, 1977"
Dhiego Lima,"6' 2""",170 lbs.,"74""",Orthodox,"Jan 31, 1989"
Diana Belbita,"5' 7""",135 lbs.,NA,NA,NA
Diego Brandao,"5' 7""",145 lbs.,"68""",Orthodox,"May 27, 1987"
Diego Ferreira,"5' 9""",155 lbs.,"74""",Orthodox,"Jan 18, 1985"
Diego Henrique da Silva,"6' 2""",185 lbs.,NA,Orthodox,"Aug 22, 1986"
Diego Nunes,"5' 6""",145 lbs.,"67""",Orthodox,"Nov 30, 1982"
Diego Rivas,"5' 8""",145 lbs.,"69""",Orthodox,"Nov 11, 1991"
Diego Sanchez,"5' 10""",170 lbs.,"72""",Southpaw,"Dec 31, 1981"
Diego Saraiva,"5' 6""",155 lbs.,NA,Orthodox,"Apr 23, 1982"
Dieusel Berto,"5' 9""",200 lbs.,NA,NA,NA
Dileno Lopes,"5' 5""",135 lbs.,"65""",NA,"Sep 26, 1984"
Dillon Smith,"6' 0""",170 lbs.,NA,NA,NA
Dimitiri Wanderley,NA,205 lbs.,NA,Orthodox,NA
Din Thomas,"5' 9""",155 lbs.,NA,Orthodox,"Sep 28, 1976"
Dino Pezao,NA,205 lbs.,NA,Orthodox,NA
Dion Staring,"6' 1""",235 lbs.,NA,Orthodox,"Jun 09, 1978"
Dmitri Stepanov,"6' 3""",217 lbs.,NA,Orthodox,NA
Dmitrii Smoliakov,"6' 2""",253 lbs.,"74""",Switch,"Aug 05, 1982"
Dmitry Poberezhets,"6' 3""",237 lbs.,NA,NA,"Jun 11, 1985"
Dmitry Sosnovskiy,"6' 3""",240 lbs.,"77""",Orthodox,"Jul 06, 1989"
Dokonjonosuke Mishima,"5' 7""",155 lbs.,NA,Southpaw,"Apr 19, 1972"
Dom Pilarte,"6' 0""",135 lbs.,"74""",Southpaw,"Jan 05, 1990"
Dominic Brown,"5' 11""",190 lbs.,NA,NA,"Jun 04, 1982"
Dominic Clark,"5' 10""",155 lbs.,NA,NA,"Aug 01, 1985"
Dominic Waters,"6' 1""",170 lbs.,"79""",Orthodox,"Apr 11, 1989"
Dominick Cruz,"5' 8""",135 lbs.,"68""",Orthodox,"Mar 09, 1985"
Dominick Reyes,"6' 4""",205 lbs.,"77""",Southpaw,"Dec 26, 1989"
Dominique Steele,"5' 10""",170 lbs.,"74""",Orthodox,"Jan 27, 1988"
Don Carlo-Clauss,NA,170 lbs.,NA,NA,NA
Don Frye,"6' 1""",219 lbs.,NA,Orthodox,"Nov 23, 1965"
Don Madge,"6' 0""",155 lbs.,"72""",Southpaw,"Nov 12, 1990"
Don'Tale Mayes,"6' 6""",260 lbs.,"82""",Orthodox,"Jan 16, 1992"
Donald Cerrone,"6' 1""",155 lbs.,"73""",Orthodox,"Mar 29, 1983"
Donald Sanchez,"5' 10""",145 lbs.,NA,NA,"Aug 18, 1984"
Donavon Frelow,"5' 7""",135 lbs.,NA,Orthodox,"Jan 20, 1985"
Dong Hyun Kim,"6' 2""",170 lbs.,"76""",Southpaw,"Nov 17, 1981"
Dong Hyun Ma,"5' 11""",155 lbs.,"70""",Orthodox,"Sep 09, 1988"
Dong Sik Yoon,"6' 0""",185 lbs.,NA,Orthodox,"Aug 24, 1972"
Dongi Yang,"5' 10""",185 lbs.,"71""",Southpaw,"Dec 07, 1984"
Donnie Chappell,"5' 11""",178 lbs.,NA,Southpaw,NA
Donnie Liles,"5' 9""",170 lbs.,NA,Orthodox,NA
Donny Walker,"5' 9""",135 lbs.,NA,NA,"Jan 04, 1980"
Dooho Choi,"5' 10""",145 lbs.,"70""",Orthodox,"Apr 10, 1991"
Dorian Price,"6' 3""",170 lbs.,NA,Southpaw,"Aug 20, 1977"
Dos Caras Jr.,"6' 4""",225 lbs.,NA,Orthodox,"May 25, 1977"
Doug Evans,"5' 9""",155 lbs.,NA,Orthodox,"Oct 10, 1980"
Doug Kay,NA,NA,NA,NA,NA
Doug Marshall,"5' 10""",205 lbs.,NA,Orthodox,"Sep 09, 1975"
Douglas Lima,"6' 1""",170 lbs.,NA,NA,"Jan 05, 1988"
Douglas Silva de Andrade,"5' 7""",135 lbs.,"68""",Orthodox,"Jun 22, 1985"
Drakkar Klose,"5' 9""",155 lbs.,"70""",Orthodox,"Mar 09, 1988"
Drew Brokenshire,NA,NA,NA,NA,NA
Drew Dimanlig,NA,185 lbs.,NA,NA,NA
Drew Dober,"5' 8""",155 lbs.,"70""",Southpaw,"Oct 19, 1988"
Drew Fickett,"5' 10""",155 lbs.,"70""",Orthodox,"Dec 14, 1979"
Drew McFedries,"6' 0""",185 lbs.,"72""",Southpaw,"Jul 27, 1978"
Drew Pendleton,NA,145 lbs.,NA,NA,"Dec 08, 1983"
Duane Ludwig,"5' 10""",170 lbs.,"70""",Orthodox,"Aug 04, 1978"
Duda Santana,"5' 7""",145 lbs.,"73""",Orthodox,"Jan 10, 1996"
Dustin Hazelett,"6' 1""",170 lbs.,"76""",Orthodox,"Apr 29, 1986"
Dustin Jacoby,"6' 4""",185 lbs.,"78""",Orthodox,"Apr 04, 1988"
Dustin Kimura,"5' 7""",135 lbs.,"71""",Orthodox,"May 21, 1989"
Dustin Moore,"5' 4""",125 lbs.,NA,NA,NA
Dustin Neace,"5' 9""",145 lbs.,NA,NA,"Sep 12, 1986"
Dustin Ortiz,"5' 5""",125 lbs.,"65""",Orthodox,"Dec 25, 1988"
Dustin Pague,"5' 9""",135 lbs.,"74""",Orthodox,"Aug 05, 1987"
Dustin Poirier,"5' 9""",155 lbs.,"72""",Southpaw,"Jan 19, 1989"
Dustin West,"5' 11""",170 lbs.,NA,NA,NA
Dwayne Cason,"5' 10""",212 lbs.,NA,Orthodox,NA
Dwight Grant,"6' 1""",170 lbs.,"76""",Switch,"Sep 14, 1984"
Dylan Andrews,"6' 1""",185 lbs.,"73""",Switch,"Nov 15, 1979"
Ebenezer Fontes Braga,"6' 0""",199 lbs.,NA,Orthodox,"Apr 14, 1969"
Ed Herman,"6' 1""",205 lbs.,"77""",Orthodox,"Oct 02, 1980"
Ed Ratcliff,"5' 10""",155 lbs.,"71""",Orthodox,"Mar 05, 1983"
Eddie Alvarez,"5' 9""",155 lbs.,"69""",Orthodox,"Jan 11, 1984"
Eddie Gordon,"6' 0""",185 lbs.,"76""",Orthodox,"Jul 22, 1983"
Eddie Mendez,"5' 10""",185 lbs.,"76""",NA,"Jan 16, 1984"
Eddie Ruiz,"5' 7""",155 lbs.,NA,Orthodox,"Jun 10, 1967"
Eddie Sanchez,"6' 2""",230 lbs.,"74""",Orthodox,"Nov 04, 1982"
Eddie Wineland,"5' 7""",135 lbs.,"69""",Orthodox,"Jun 26, 1984"
Eddie Yagin,"5' 7""",145 lbs.,NA,Orthodox,"Mar 23, 1979"
Eddy Ellis,"5' 9""",170 lbs.,NA,Orthodox,NA
Eddy Millis,"6' 1""",185 lbs.,NA,NA,NA
Edgar Cardenas,NA,145 lbs.,NA,NA,NA
Edgar Garcia,"5' 10""",170 lbs.,"71""",Orthodox,"Feb 22, 1984"
Edilberto de Oliveira,"6' 0""",170 lbs.,NA,Orthodox,"Nov 22, 1982"
Edmen Shahbazyan,"6' 2""",185 lbs.,NA,Orthodox,"Nov 20, 1997"
Ednaldo Oliveira,"6' 5""",205 lbs.,"79""",Orthodox,"Feb 19, 1984"
Edson Barboza,"5' 11""",155 lbs.,"75""",Orthodox,"Jan 21, 1986"
Edson Berto,"5' 6""",155 lbs.,NA,Orthodox,"Jul 05, 1983"
Edson Drago,"6' 4""",220 lbs.,NA,Orthodox,"Aug 29, 1977"
Edson Silva,NA,205 lbs.,NA,Orthodox,NA
Eduardo Bustillos,"5' 8""",135 lbs.,NA,NA,"Jun 02, 1987"
Eduardo Dantas,"5' 10""",135 lbs.,NA,NA,"Feb 03, 1989"
Eduardo Pamplona,"5' 11""",170 lbs.,NA,NA,"Feb 20, 1973"
Edward Faaloloto,NA,155 lbs.,"70""",NA,"Jul 15, 1984"
Edwin Aguilar,"5' 10""",185 lbs.,NA,NA,NA
Edwin DeWees,"6' 1""",185 lbs.,NA,Orthodox,"Aug 07, 1982"
Edwin Figueroa,"5' 7""",135 lbs.,"69""",Orthodox,"Jul 31, 1984"
Efrain Escudero,"5' 9""",155 lbs.,"70""",Orthodox,"Jan 15, 1986"
Egan Inoue,"5' 9""",190 lbs.,NA,Southpaw,"Jul 04, 1965"
Egidijus Valavicius,"6' 0""",200 lbs.,NA,Orthodox,NA
Eiji Ishikawa,"5' 10""",170 lbs.,NA,NA,"Oct 12, 1979"
Eiji Mitsuoka,"5' 7""",145 lbs.,NA,Southpaw,"Jan 01, 1976"
Elaina Maxwell,"5' 8""",145 lbs.,NA,Orthodox,"Dec 16, 1978"
Eldari Kurtanidze,"5' 6""",235 lbs.,NA,Orthodox,"Apr 16, 1972"
Eldo Xavier Dias,"5' 11""",180 lbs.,NA,NA,"Jul 16, 1964"
Eli Tamez,"5' 7""",135 lbs.,NA,NA,"Aug 22, 1985"
Elias Garcia,"5' 5""",125 lbs.,"67""",Southpaw,"Sep 13, 1992"
Elias Silverio,"5' 11""",155 lbs.,"73""",Orthodox,"Sep 22, 1986"
Elias Theodorou,"6' 1""",185 lbs.,"75""",Orthodox,"May 31, 1988"
Elias Urbina,"6' 3""",185 lbs.,"77""",Southpaw,"Oct 09, 1993"
Eliot Marshall,"6' 2""",205 lbs.,"77""",Orthodox,"Jul 07, 1980"
Elisha Helsper,"5' 6""",135 lbs.,NA,Orthodox,"Feb 06, 1983"
Elizabeth Phillips,"5' 6""",135 lbs.,"65""",Orthodox,"Aug 20, 1986"
Elizeu Zaleski dos Santos,"5' 11""",170 lbs.,"73""",Orthodox,"Dec 11, 1986"
Elvis Mutapcic,"6' 0""",185 lbs.,"72""",Orthodox,"Jul 19, 1986"
Elvis Sinosic,"6' 3""",205 lbs.,"77""",Orthodox,"Feb 13, 1971"
Emanuel Newton,"6' 1""",205 lbs.,NA,NA,"Jan 02, 1984"
Emil Meek,"5' 11""",170 lbs.,"74""",Switch,"Aug 20, 1988"
Emiliano Sordi,"6' 2""",205 lbs.,NA,Orthodox,"Feb 15, 1991"
Emilio Chavez,"5' 9""",145 lbs.,NA,NA,NA
Emily Peters Kagan,"5' 3""",115 lbs.,"66""",NA,"Jul 14, 1981"
Emily Whitmire,"5' 5""",115 lbs.,"63""",NA,"May 24, 1991"
Emmanuel Sanchez,"5' 9""",145 lbs.,NA,NA,"Aug 11, 1990"
Emmanuel Yarborough,"6' 8""",770 lbs.,NA,Open Stance,"Sep 05, 1960"
Enrique Barzola,"5' 7""",145 lbs.,"70""",NA,"Apr 28, 1989"
Enrique Marin,"5' 10""",170 lbs.,"74""",NA,"Sep 02, 1986"
Enrique Watson,NA,185 lbs.,NA,NA,NA
Enson Inoue,"5' 10""",210 lbs.,NA,Orthodox,"Apr 15, 1967"
Eric Bedard,"6' 2""",239 lbs.,NA,NA,"Sep 11, 1984"
Eric Castile,"5' 8""",145 lbs.,NA,NA,NA
Eric Esch,"5' 11""",350 lbs.,NA,Orthodox,"Aug 03, 1968"
Eric Galvan,NA,155 lbs.,NA,NA,NA
Eric Irvin,"5' 8""",155 lbs.,NA,NA,"Jan 10, 1986"
Eric Jacob,NA,155 lbs.,NA,NA,NA
Eric Lawson,"6' 0""",185 lbs.,NA,Orthodox,NA
Eric Magana,NA,NA,NA,NA,NA
Eric Martin,NA,NA,NA,NA,NA
Eric Schafer,"6' 3""",185 lbs.,"75""",Orthodox,"Sep 20, 1977"
Eric Schambari,"5' 11""",185 lbs.,NA,Orthodox,"Apr 22, 1978"
Eric Schwartz,NA,205 lbs.,NA,NA,NA
Eric Shelton,"5' 6""",125 lbs.,"68""",Orthodox,"Feb 02, 1991"
Eric Smith,NA,NA,NA,Southpaw,NA
Eric Spicely,"6' 1""",185 lbs.,"73""",Orthodox,"Sep 29, 1986"
Eric Steenberg,NA,155 lbs.,NA,NA,"Jun 22, 1983"
Eric Wisely,"5' 8""",145 lbs.,NA,Southpaw,"Jul 25, 1984"
Eric Wray,"6' 0""",170 lbs.,NA,Orthodox,NA
Erick Montano,"6' 0""",170 lbs.,"73""",Orthodox,"Nov 19, 1985"
Erick Sanchez,"5' 10""",145 lbs.,NA,NA,"Oct 04, 1990"
Erick Silva,"6' 0""",170 lbs.,"74""",Orthodox,"Jun 21, 1984"
Erick Wanderlei,"6' 1""",205 lbs.,NA,Orthodox,NA
Ericka Almeida,"5' 6""",115 lbs.,"68""",NA,"Mar 05, 1989"
Erik Apple,"6' 0""",170 lbs.,NA,Orthodox,"Aug 26, 1977"
Erik Koch,"5' 10""",155 lbs.,"71""",Southpaw,"Oct 04, 1988"
Erik Perez,"5' 8""",135 lbs.,"68""",Orthodox,"Nov 19, 1989"
Ernest Chavez,"5' 8""",145 lbs.,"70""",Orthodox,"Jun 27, 1983"
Ernie Verdicia,"5' 11""",199 lbs.,NA,Orthodox,NA
Errol Zimmerman,"6' 3""",185 lbs.,NA,Orthodox,"Apr 20, 1986"
Eryk Anders,"6' 1""",185 lbs.,"75""",Southpaw,"Apr 21, 1987"
Estefani Almeida,"5' 4""",125 lbs.,NA,Orthodox,"Oct 17, 1988"
Estevan Payan,"5' 10""",145 lbs.,"72""",Orthodox,"Mar 14, 1982"
Eugene Jackson,"5' 8""",185 lbs.,NA,Orthodox,"Sep 23, 1966"
Eugenio Tadeu,"5' 8""",160 lbs.,NA,Orthodox,NA
Eun Soo Lee,"6' 1""",215 lbs.,NA,Orthodox,"Mar 07, 1982"
Evan Dunham,"5' 10""",155 lbs.,"70""",Southpaw,"Dec 18, 1981"
Evan Esguerra,NA,145 lbs.,NA,NA,NA
Evan Tanner,"6' 0""",185 lbs.,"74""",Orthodox,"Feb 11, 1971"
Evangelista Santos,"5' 10""",170 lbs.,"76""",Orthodox,"Dec 12, 1977"
Everett Cummings,NA,205 lbs.,NA,NA,NA
Everett Sims,"6' 5""",260 lbs.,"77""",Southpaw,"Sep 04, 1988"
Ewerton Teixeira,"6' 1""",242 lbs.,NA,NA,"Feb 13, 1982"
Fabian Gonzalez,"5' 10""",135 lbs.,NA,NA,NA
Fabiano Iha,"5' 8""",155 lbs.,NA,Orthodox,"Jul 28, 1970"
Fabiano Scherner,"6' 3""",257 lbs.,NA,Orthodox,"Jun 30, 1972"
Fabio Cherant,NA,205 lbs.,NA,NA,"Nov 25, 1994"
Fabio Gurgel,"6' 0""",205 lbs.,NA,Orthodox,NA
Fabio Maldonado,"6' 1""",205 lbs.,"75""",Orthodox,"Mar 17, 1980"
Fabio Mello,"5' 5""",155 lbs.,NA,Southpaw,NA
Fabio Nascimento,"5' 10""",185 lbs.,NA,Orthodox,NA
Fabio Silva,"5' 11""",205 lbs.,NA,Orthodox,"Mar 31, 1982"
Fabricio Camoes,"5' 10""",155 lbs.,"73""",Orthodox,"Dec 23, 1978"
Fabricio Guerreiro,"5' 10""",145 lbs.,NA,NA,"Jul 24, 1990"
Fabricio Werdum,"6' 4""",231 lbs.,"77""",Orthodox,"Jul 30, 1977"
Falaniko Vitale,"5' 10""",185 lbs.,NA,Orthodox,"Jul 14, 1974"
Fazlo Mulabitinovic,NA,135 lbs.,NA,NA,NA
Federico Lopez,"5' 4""",139 lbs.,NA,Orthodox,NA
Fedor Emelianenko,"6' 0""",230 lbs.,"74""",Orthodox,"Sep 28, 1976"
Felice Herrig,"5' 4""",115 lbs.,"65""",Orthodox,"Sep 18, 1984"
Felicia Spencer,"5' 6""",145 lbs.,"68""",Orthodox,"Nov 29, 1990"
Felipe Arantes,"5' 8""",135 lbs.,"73""",Orthodox,"Feb 09, 1988"
Felipe Colares,"5' 9""",135 lbs.,"69""",Orthodox,"Mar 31, 1994"
Felipe Olivieri,"5' 9""",155 lbs.,"72""",Orthodox,"Apr 12, 1985"
Felipe Portela,NA,170 lbs.,NA,NA,"Nov 23, 1987"
Felipe Silva,"6' 0""",155 lbs.,"77""",Orthodox,"May 08, 1984"
Felix Lee Mitchell,NA,NA,NA,Orthodox,NA
Fernando Bettega,NA,170 lbs.,NA,NA,"Mar 10, 1980"
Fernando Bruno,"5' 6""",145 lbs.,"70""",NA,"Feb 24, 1982"
Fernando Gonzalez,"5' 9""",170 lbs.,"68""",Southpaw,"Sep 15, 1983"
Filip Pejic,"5' 8""",135 lbs.,"70""",Orthodox,"Jul 21, 1992"
Fiona Muxlow,"5' 4""",145 lbs.,NA,NA,"May 13, 1977"
Flavio Luiz Moura,"5' 11""",183 lbs.,NA,Open Stance,NA
Floyd Sword,"6' 0""",185 lbs.,NA,Orthodox,"Aug 24, 1976"
Forrest Griffin,"6' 3""",205 lbs.,"77""",Orthodox,"Mar 16, 1979"
Forrest Petz,"5' 9""",170 lbs.,"71""",Orthodox,"Sep 22, 1975"
Francesco Maturi,NA,NA,NA,NA,NA
Francimar Barroso,"6' 1""",205 lbs.,"75""",Orthodox,"Feb 28, 1980"
Francis Carmont,"6' 3""",205 lbs.,"78""",Orthodox,"Oct 11, 1981"
Francis Ngannou,"6' 4""",250 lbs.,"83""",Orthodox,"Sep 05, 1986"
Francisco Bueno,"5' 9""",225 lbs.,NA,Orthodox,NA
Francisco France,"6' 0""",205 lbs.,NA,NA,"Jan 21, 1983"
Francisco Rivera,"5' 8""",135 lbs.,"68""",Orthodox,"Oct 08, 1981"
Francisco Trevino,"5' 9""",155 lbs.,"70""",Orthodox,"Dec 17, 1981"
Francisco Trinaldo,"5' 9""",155 lbs.,"70""",Southpaw,"Aug 24, 1978"
Francois Botha,"6' 2""",260 lbs.,NA,Orthodox,"Sep 28, 1968"
Frank Camacho,"5' 10""",170 lbs.,"73""",Orthodox,"May 18, 1989"
Frank Caracci,NA,NA,NA,NA,NA
Frank Gomez,"5' 10""",135 lbs.,"67""",Orthodox,"Mar 31, 1986"
Frank Hamaker,NA,NA,NA,NA,NA
Frank Lester,"5' 11""",170 lbs.,NA,Orthodox,"Jun 10, 1984"
Frank Megallon,"5' 10""",185 lbs.,NA,Southpaw,NA
Frank Mir,"6' 3""",264 lbs.,"79""",Southpaw,"May 24, 1979"
Frank Shamrock,"5' 10""",185 lbs.,NA,Orthodox,"Dec 08, 1972"
Frank Trigg,"5' 9""",170 lbs.,"71""",Southpaw,"May 07, 1972"
Frankie Edgar,"5' 6""",145 lbs.,"68""",Orthodox,"Oct 16, 1981"
Frankie Perez,"5' 11""",155 lbs.,"73""",Orthodox,"May 11, 1989"
Frankie Saenz,"5' 6""",135 lbs.,"66""",Orthodox,"Aug 12, 1980"
Fred Ettish,"6' 0""",180 lbs.,NA,Southpaw,NA
Frederick Brown,"6' 0""",235 lbs.,NA,NA,NA
Fredson Paixao,"5' 6""",145 lbs.,"66""",Orthodox,"May 13, 1979"
Fredy Serrano,"5' 3""",125 lbs.,"65""",Orthodox,"Sep 22, 1979"
Gabe Lemley,"5' 8""",155 lbs.,NA,Orthodox,NA
Gabe Ruediger,"5' 10""",155 lbs.,NA,Orthodox,"Aug 29, 1977"
Gabriel Benitez,"5' 8""",145 lbs.,"71""",Southpaw,"Jun 15, 1988"
Gabriel Carrasco,"5' 6""",135 lbs.,NA,NA,NA
Gabriel Checco,"6' 1""",185 lbs.,NA,Switch,"Apr 03, 1986"
Gabriel Gonzaga,"6' 2""",242 lbs.,"76""",Orthodox,"May 18, 1979"
Gabriel Miglioli,"5' 8""",170 lbs.,NA,NA,NA
Gabriel Salinas-Jones,"6' 1""",245 lbs.,NA,NA,"Nov 20, 1984"
Gabriel Silva,"5' 6""",135 lbs.,NA,NA,"Aug 26, 1994"
Gabrielle Holloway,"5' 3""",145 lbs.,NA,NA,"Apr 15, 1990"
Gadzhimurad Antigulov,"5' 11""",205 lbs.,"70""",Orthodox,"Feb 09, 1987"
Galore Bofando,"5' 11""",170 lbs.,"72""",Switch,"May 22, 1982"
Gan McGee,"6' 10""",265 lbs.,NA,Orthodox,"Nov 20, 1976"
Gareth Joseph,NA,205 lbs.,NA,NA,NA
Garett Whiteley,"6' 0""",155 lbs.,"72""",Orthodox,"Dec 13, 1980"
Garreth McLellan,"6' 1""",185 lbs.,"72""",Southpaw,"Sep 01, 1982"
Garrett Gross,"5' 9""",155 lbs.,"69""",Orthodox,"Aug 08, 1988"
Garrett Mueller,"5' 9""",135 lbs.,NA,NA,"Jan 29, 1989"
Gary Frazier,"6' 0""",245 lbs.,NA,Orthodox,NA
Gary Goodridge,"6' 3""",249 lbs.,NA,Orthodox,"Jan 17, 1966"
Gary Padilla,"5' 11""",205 lbs.,NA,NA,"May 04, 1980"
Gary Quan,"5' 8""",143 lbs.,NA,NA,"Apr 11, 1971"
Gary Tapusoa,"5' 7""",185 lbs.,NA,NA,NA
Gasan Umalatov,"5' 11""",170 lbs.,"71""",Orthodox,"Sep 11, 1982"
Gaston Reyno,"6' 0""",145 lbs.,NA,NA,"Nov 11, 1986"
Gavin Tucker,"5' 6""",145 lbs.,"66""",Southpaw,"Jun 17, 1986"
Geane Herrera,"5' 5""",125 lbs.,"66""",Orthodox,"May 27, 1990"
Gegard Mousasi,"6' 2""",185 lbs.,"76""",Orthodox,"Aug 01, 1985"
Genki Sudo,"5' 9""",155 lbs.,NA,Orthodox,"Mar 08, 1978"
Gennaro Strangis,NA,NA,NA,NA,NA
Geoff Neal,"5' 11""",170 lbs.,"75""",Southpaw,"Aug 28, 1990"
George Allen,"6' 2""",205 lbs.,NA,Open Stance,"Jan 13, 1967"
George Bush,"6' 1""",205 lbs.,NA,NA,NA
George Pacurariu,"5' 7""",135 lbs.,NA,NA,"Jul 28, 1984"
George Roop,"6' 1""",135 lbs.,"72""",Orthodox,"Nov 10, 1981"
George Sotiropoulos,"5' 10""",155 lbs.,"71""",Orthodox,"Jul 09, 1977"
George Stork,"5' 10""",185 lbs.,NA,NA,NA
George Sullivan,"6' 0""",170 lbs.,"73""",Orthodox,"Mar 13, 1981"
George Zuniga,"5' 9""",185 lbs.,NA,NA,NA
Georges St-Pierre,"5' 11""",185 lbs.,"76""",Orthodox,"May 19, 1981"
Georgi Karakhanyan,"5' 8""",145 lbs.,NA,NA,"May 29, 1985"
Gerald Harris,"5' 11""",185 lbs.,"77""",Southpaw,"Nov 19, 1979"
Gerald Meerschaert,"6' 1""",185 lbs.,"77""",Southpaw,"Dec 18, 1987"
Gerald Strebendt,"5' 9""",155 lbs.,NA,Orthodox,"Mar 01, 1979"
Geraldo de Freitas,"5' 9""",135 lbs.,"72""",Orthodox,"Sep 30, 1991"
Gerard Gordeau,"6' 5""",216 lbs.,NA,Orthodox,"Mar 30, 1959"
Germaine de Randamie,"5' 9""",135 lbs.,"71""",Orthodox,"Apr 24, 1984"
Geronimo dos Santos,"6' 3""",264 lbs.,NA,Orthodox,"Aug 17, 1980"
Gerric Hayes,"5' 10""",NA,NA,NA,NA
Gerry Harris,"6' 8""",270 lbs.,NA,Orthodox,NA
Gesias Cavalcante,"5' 8""",155 lbs.,"71""",Orthodox,"Jul 06, 1983"
Geza Kalman,"6' 1""",200 lbs.,NA,NA,NA
Giacomo Lemos,"6' 3""",255 lbs.,NA,NA,"Jun 23, 1989"
